,city,population,violent crime,murder and nonnegligent manslaughter,rape,robbery,aggravated assault,property crime,burglary,larceny-theft,motor vehicle theft,arson,state,year
0,New York,8379043.0,47821.0,319.0,2770.0,13396.0,31336.0,122299.0,9846.0,106931.0,5522.0,,New York,2019
1,Los Angeles,4015546.0,29400.0,258.0,2274.0,9652.0,17216.0,95704.0,13809.0,66253.0,15642.0,1672.0,California,2019
2,Chicago,2707064.0,25532.0,492.0,1761.0,7983.0,15296.0,80742.0,9578.0,62083.0,9081.0,416.0,Illinois,2019
3,Houston,2355606.0,25257.0,275.0,1249.0,9147.0,14586.0,101750.0,17038.0,71614.0,13098.0,485.0,Texas,2019
4,Phoenix,1688722.0,11803.0,131.0,1139.0,3197.0,7336.0,55974.0,9471.0,39427.0,7076.0,201.0,Arizona,2019
5,Las Vegas,1666803.0,8854.0,84.0,1439.0,2118.0,5213.0,46197.0,10646.0,28240.0,7311.0,125.0,Nevada,2019
6,San Antonio,1559166.0,11046.0,105.0,1630.0,1965.0,7346.0,67422.0,8172.0,51469.0,7781.0,181.0,Texas,2019
7,San Diego,1441737.0,5215.0,50.0,561.0,1346.0,3258.0,27141.0,3543.0,18426.0,5172.0,122.0,California,2019
8,Dallas,1363295.0,11764.0,198.0,797.0,4400.0,6369.0,45279.0,9210.0,25812.0,10257.0,144.0,Texas,2019
9,San Jose,1040008.0,4559.0,32.0,671.0,1339.0,2517.0,25164.0,4114.0,14924.0,6126.0,135.0,California,2019
10,Austin,986062.0,3953.0,32.0,534.0,971.0,2416.0,36588.0,4344.0,29216.0,3028.0,103.0,Texas,2019
11,Honolulu,974902.0,2638.0,27.0,340.0,954.0,1317.0,29263.0,3864.0,21562.0,3837.0,272.0,Hawaii,2019
12,Charlotte-Mecklenburg,944260.0,6982.0,103.0,317.0,1975.0,4587.0,37070.0,5426.0,28304.0,3340.0,151.0,North Carolina,2019
13,Fort Worth,915237.0,4068.0,69.0,470.0,972.0,2557.0,24605.0,3969.0,17301.0,3335.0,85.0,Texas,2019
14,Jacksonville,909142.0,5886.0,129.0,554.0,1294.0,3909.0,30088.0,4906.0,22373.0,2809.0,82.0,Florida,2019
15,Columbus,906120.0,4561.0,81.0,882.0,1810.0,1788.0,29974.0,5809.0,20606.0,3559.0,,Ohio,2019
16,San Francisco,886007.0,5933.0,40.0,324.0,3055.0,2514.0,48780.0,4644.0,39887.0,4249.0,275.0,California,2019
17,Seattle,763706.0,4471.0,28.0,358.0,1339.0,2746.0,34333.0,7210.0,23478.0,3645.0,98.0,Washington,2019
18,Denver,728941.0,5459.0,67.0,713.0,1205.0,3474.0,27288.0,3967.0,18027.0,5294.0,107.0,Colorado,2019
19,Washington,705749.0,6896.0,166.0,342.0,2359.0,4029.0,29965.0,1840.0,25827.0,2298.0,,District Of Columbia,2019
20,Boston,698941.0,4244.0,42.0,231.0,1039.0,2932.0,,1703.0,10590.0,,,Massachusetts,2019
21,Nashville,687361.0,7376.0,83.0,438.0,1978.0,4877.0,27777.0,3374.0,21655.0,2748.0,60.0,Tennessee,2019
22,El Paso,686793.0,2422.0,40.0,310.0,338.0,1734.0,10378.0,1048.0,8479.0,851.0,29.0,Texas,2019
23,Louisville,675501.0,4640.0,94.0,201.0,1008.0,3337.0,26287.0,4316.0,18037.0,3934.0,7.0,Kentucky,2019
24,Detroit,663502.0,13040.0,275.0,952.0,2346.0,9467.0,28550.0,6820.0,14844.0,6886.0,789.0,Michigan,2019
25,Portland,662114.0,3606.0,29.0,368.0,979.0,2230.0,34452.0,4200.0,23820.0,6432.0,252.0,Oregon,2019
26,Oklahoma City,657890.0,4751.0,75.0,539.0,888.0,3249.0,26918.0,6206.0,16922.0,3790.0,96.0,Oklahoma,2019
27,Memphis,650410.0,12367.0,190.0,468.0,2432.0,9277.0,39860.0,7833.0,27981.0,4046.0,336.0,Tennessee,2019
28,Baltimore,597239.0,11101.0,348.0,324.0,4856.0,5573.0,25748.0,5414.0,16395.0,3939.0,108.0,Maryland,2019
29,Milwaukee,590923.0,7874.0,97.0,427.0,1911.0,5439.0,15097.0,3594.0,8053.0,3450.0,198.0,Wisconsin,2019
