,year,unemployment average
0,2003,29184.416666666668
1,2004,24197.416666666668
2,2005,20554.416666666668
3,2006,17462.666666666668
4,2007,18189.416666666668
5,2008,24093.333333333332
6,2009,41801.583333333336
7,2010,44207.75
8,2011,40366.25
9,2012,34978.333333333336
10,2013,28430.25
11,2014,23335.666666666668
12,2015,19844.5
13,2016,18344.416666666668
14,2017,16606.0
15,2018,13639.416666666666
16,2019,12865.083333333334
17,2020,44465.583333333336
18,2021,27827.083333333332
19,2022,14599.833333333334
